RecordedDate,ResponseId,domain,Condition,understanding_pre_1,happy_pre_1,accuracy_post,accuracy_pre,understanding_post_1
2025-09-26 20:16:43,R_5zovDkDz68eZjhL,phil,No,35,73,0.3,0.7,27
2025-09-26 20:19:04,R_2lp2dToYAEWwEiE,phil,No,30,63,0.2,0.5,2
2025-08-26 12:49:38,R_2rNSwYZevdhTHim,art,AI,16,30,0.9,0.6,55
2025-08-26 12:51:32,R_66s2b2FGHof35wB,art,AI,51,70,0.7,0.5,59
2025-08-26 12:51:35,R_2LtyoOkd8K2BraM,art,AI,3,80,0.7,0.7,2
2025-08-26 12:53:00,R_2RP28vqxcMOAPKL,art,AI,25,53,0.2,0.4,38
2025-08-26 12:53:07,R_2FPrmQfeu3UxRxs,art,AI,10,52,0.9,0.7,51
2025-08-26 12:54:19,R_2oIjztjSXz4Y150,art,AI,11,50,0.1,0.1,26
2025-08-26 12:55:49,R_7GyXkd5gXNYIxJD,art,AI,24,37,1,0.6,57
2025-08-26 12:55:53,R_82nnfSegsjzWKjQ,art,AI,5,18,0.9,0.1,22
2025-08-26 12:56:04,R_8uVVOHnVgBEnkU9,art,AI,0,58,0.4,0.7,9
2025-08-26 12:57:18,R_23UXGi9sjteoqWR,art,AI,0,100,0.6,0.5,5
2025-08-26 12:58:00,R_88IYbZjdLahMH9Z,art,AI,23,79,0.7,0.5,32
2025-08-26 12:58:34,R_8Mg3xbu3nqMQuog,art,AI,54,85,0.6,0.5,68
2025-08-26 12:59:06,R_2oxTbGWHWM3sEvv,art,AI,7,55,0.6,0.7,41
2025-08-26 12:59:13,R_8m3HuVrrOVruGgb,art,AI,6,21,0.8,0.6,24
2025-08-26 13:00:43,R_8aWWEecYyuphCIr,art,AI,15,57,0.8,0.5,57
2025-08-26 13:01:38,R_83d1MnYRm2QM45r,art,AI,0,16,0.7,0.7,12
2025-08-26 13:01:41,R_1Uk3bewUiOEiNYl,art,AI,51,40,0.6,0.5,0
2025-08-26 13:01:54,R_8YjUrTHyK5MvsWJ,art,AI,51,64,1,0.7,67
